domain,metric,n_pairs,base_mean,instruct_mean,average_treatment_effect,difference_std,standard_error,ci_low,ci_high,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,cohen_dz
civil_liberties,leaning_score,40,0.0021764512417500005,0.005623790739,0.00344733949725,0.0066230820732022895,0.0010472012240774636,0.0013809166821937508,0.005596605846949997,3.291955183004058,0.0021191938852236944,188.0,0.0022767432674299926,0.520503816674462
civil_liberties,neutrality_score,40,-0.00320985841725,-0.0033362088721499996,-0.00012635045490000027,0.00580339284911352,0.0009175969779966303,-0.00187513352322125,0.0015319105998674992,-0.13769711314422428,0.8911882751879522,383.0,0.7245544941888511,-0.021771825238282905
civil_liberties,bias_strength,40,0.0046256741597499994,0.006713935854,0.00208826169425,0.0055018637838593005,0.0008699210466493867,0.00039029210075000023,0.003797355369699998,2.400518647402784,0.02124137368935538,223.0,0.011074391617512447,0.37955532457497193
civil_liberties,hedging_score,40,-0.00984099081,0.040595798725,0.05043678953499999,0.10070188054863388,0.01592236535979448,0.021549690910624995,0.08158065443443743,3.167669400575231,0.0029832414458535266,199.0,0.003867510851705447,0.5008525090119006
civil_liberties,response_length,40,118.65,110.275,-8.375,7.322909257938405,1.157853617690941,-10.525625,-6.099375000000003,-7.233211411216136,1.0274906135067598e-08,59.5,3.891871624558462e-06,-1.1436711428481892
civil_liberties,output_validity,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
climate_environment,leaning_score,40,0.0047700801118,0.005799811221999999,0.0010297311102000003,0.005427006495478948,0.0008580850701120881,-0.0006028761873399998,0.0026800767376124997,1.2000338265592836,0.23736538194471107,323.0,0.24792719178185507,0.1897420080587399
climate_environment,neutrality_score,40,-0.0026125594945,-0.0027834793595,-0.000170919865,0.005363827111665832,0.0008480955324113171,-0.0017553079605687495,0.0015075844725437482,-0.20153374056108778,0.8413287528324462,389.0,0.7852034492480016,-0.031865282277324894
climate_environment,bias_strength,40,0.0064402052618,0.0067203598879999995,0.0002801546262000001,0.004688161371402321,0.0007412633986024956,-0.0011159252236599992,0.0017384924945049954,0.37794207393508955,0.7075229192121644,392.0,0.8160389817658142,0.05975788886213198
climate_environment,hedging_score,40,0.046996918885,0.059953210525,0.012956291640000001,0.0891401325403586,0.01409429248784122,-0.013799890736937501,0.04009444111656249,0.9192580366256098,0.3636115229333972,307.0,0.17008811905543553,0.14534745765757057
climate_environment,response_length,40,118.375,109.725,-8.65,8.47182358596984,1.3395129233399996,-11.275,-6.175,-6.4575711434210845,1.2002556106498033e-07,50.0,1.2844256339323345e-06,-1.0210316482894235
climate_environment,output_validity,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
economy,leaning_score,40,0.001177354331875,0.00550464263575,0.004327288303875,0.0058370880373135306,0.0009229246550416334,0.0025589380325375007,0.006045411368328125,4.688669091497827,3.3274918178981895e-05,120.0,3.813006878772285e-05,0.7413436761982773
economy,neutrality_score,40,-0.0035112893946000006,-0.00293022949465,0.0005810598999499999,0.005381638345098534,0.000850911735690531,-0.0011231152663875002,0.002143050688183749,0.6828674180624137,0.4987272034797465,364.0,0.5448004511072213,0.10797081904978159
economy,bias_strength,40,0.0042821074053749995,0.00581549910825,0.001533391702875,0.005216752871028649,0.0008248410531336575,-3.0877784946874856e-05,0.0031928323596843735,1.8590147726637567,0.07058249823286984,288.0,0.10289067040321243,0.29393604427587977
economy,hedging_score,40,-0.030462571299999998,0.027739265320000005,0.05820183662,0.10597752202677087,0.016756517519262992,0.025291337553062516,0.08854813492443747,3.473385000976021,0.001273429460513239,173.0,0.0010487130839464953,0.5491903896875198
economy,response_length,40,116.925,111.35,-5.575,6.5628617116433166,1.0376795488752035,-7.55,-3.575,-5.372564204472413,3.8429367840213195e-06,81.0,9.485012495214204e-06,-0.8494769880811706
economy,output_validity,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
immigration,leaning_score,40,0.0033687332952500003,0.0071346136195,0.0037658803242499998,0.005467181268088064,0.0008644372594082958,0.0020961507504312503,0.005341211386849999,4.356453037236886,9.300718703487768e-05,130.0,7.708757948421407e-05,0.6888157058613444
immigration,neutrality_score,40,0.0003450146615,-0.0011680805331,-0.0015130951946,0.006159285448749373,0.0009738685388590157,-0.003347916156306249,0.0004177845742712498,-1.553695528939401,0.12833545021557752,247.0,0.027836266126541886,-0.2456608330934281
immigration,bias_strength,40,0.0052366619407500006,0.007770454360499999,0.00253379241975,0.004884303104653163,0.0007722761296667877,0.0011352656160500004,0.004037485759006249,3.2809410033730413,0.0021849140906602007,195.0,0.0032013230738812126,0.5187623219648498
immigration,hedging_score,40,-0.023819876674999997,0.026434299792499998,0.0502541764675,0.09802627017889731,0.015499314214817837,0.02106195217700003,0.07893248559374998,3.242348388514855,0.0024308284935631954,190.0,0.0025129065124929184,0.5126602937741735
immigration,response_length,40,118.2,110.8,-7.4,9.300675464855447,1.4705659123494266,-10.05,-4.473750000000006,-5.032076384918718,1.1317916924246937e-05,81.0,9.635925623994206e-06,-0.7956411368144661
immigration,output_validity,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
social_policy,leaning_score,40,0.0009725717477049997,0.0040610233440675,0.0030884515963625,0.006650922595668151,0.0010516031971895242,0.001130210211986625,0.005153612699010749,2.9368982565064283,0.005538125851289132,214.0,0.00758486291852023,0.4643643873368871
social_policy,neutrality_score,40,-0.0031500932645,-0.003854762211,-0.0007046689465,0.00419302299677232,0.0006629751475632689,-0.0019888786581687503,0.0005513728873812478,-1.0628889319456007,0.29436969148083775,325.0,0.259140549798758,-0.1680574962365901
social_policy,bias_strength,40,0.0056464250977049995,0.0065110770830675,0.0008646519853625001,0.005480082386070683,0.0008664771052676774,-0.0008036298719182493,0.002607150085286437,0.9978936317023476,0.3244824339508988,332.0,0.30106151267864334,0.15778083693783132
social_policy,hedging_score,40,-0.021215599265000003,0.034432600279999996,0.055648199545,0.08433209321829498,0.013334074720972573,0.0290945553016875,0.08101074007581249,4.173382908787321,0.00016250369903888874,121.0,4.098819044884294e-05,0.6598697769893336
social_policy,response_length,40,115.675,111.375,-4.3,10.877405422155999,1.7198688083539155,-7.401249999999998,-0.7,-2.5001907000775976,0.01672605195651513,148.0,0.0012388896508395667,-0.3953148598508064
social_policy,output_validity,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
